34,2021-07-29 16:16:37,151656171550,data16_13TeV,2021-07-29 15:23:24,2021-07-20 22:41:03,None,None,None,134,data16_13TeV.00310738.physics_Main.merge.DESDM_EXOTHIP.r12746_p3833_tid26232333_00,310738,2021-07-29 16:17:09
3460,2020-09-07 16:01:42,4386725348532,data16_13TeV,2020-08-28 03:50:45,2020-08-23 20:52:40,None,None,None,11480,data16_13TeV.00310738.physics_Main.recon.DRAW_RPVLL.r11969_tid22357066_00,310738,2022-04-20 18:34:35
None,None,528403401088,None,2016-10-17 11:06:46,2016-10-16 19:57:10,None,None,None,323,data16_13TeV.00310738.physics_Standby.merge.RAW,310738,2022-04-20 18:30:10
5,2022-11-17 07:36:53,50704009861,data16_13TeV,2022-11-15 11:20:15,2022-11-14 09:35:20,None,None,None,5,data16_13TeV.00310738.physics_ZeroBias.merge.AOD.r9264_p3083_tid31234899_00,310738,2022-11-17 07:37:29
None,None,14250244,None,2016-10-17 19:31:00,2016-10-17 14:30:26,None,None,None,15,data16_13TeV.00310781.calibration_LArNoiseBurst.daq.RAW,310781,2022-04-20 18:32:39
1016,2021-05-17 16:25:35,3154224408,None,2016-10-17 20:30:07,2016-10-17 14:36:39,None,None,None,291,data16_13TeV.00310781.physics_Background.merge.RAW,310781,2022-04-20 18:40:13
None,None,104932776,None,2016-10-17 20:59:38,2016-10-17 20:57:03,None,None,None,6,data16_13TeV.00310808.calibration_LArCellsEmpty.daq.RAW,310808,2022-04-20 18:33:47
None,None,4266320,None,2016-10-17 20:59:38,2016-10-17 20:57:02,None,None,None,2,data16_13TeV.00310808.calibration_lucid.daq.RAW,310808,2022-04-20 18:32:48
None,None,1509021614,data16,2019-02-18 20:32:39,2019-02-18 18:36:20,None,None,None,1,data16_13TeV.00310808.physics_CosmicCalo.archive.RAW.p3752_tid17141736_00,310808,2022-04-20 18:34:52
74,2022-03-01 10:55:20,497680019994,data16_13TeV,2021-12-13 15:32:19,2021-12-06 18:14:03,None,None,None,361,data16_13TeV.00310809.calibration_DataScouting_05_Jets.merge.AOD.r10657_p3592_tid27456632_00,310809,2022-03-01 10:56:00
None,None,329963002604,None,2016-10-18 17:10:48,2016-10-17 23:00:26,None,None,None,180,data16_13TeV.00310809.calibration_LArCells.daq.RAW,310809,2022-04-20 18:31:51
21,2021-06-23 12:17:44,25358400,None,2016-10-19 13:56:55,2016-10-19 13:54:17,None,None,None,1,data16_13TeV.00310809.debugrec_hlt.merge.RAW.g53,310809,2022-04-20 18:34:00
None,2017-10-04 21:59:27,2074382513159,data16_13TeV,2016-11-23 03:27:25,2016-11-21 06:34:20,None,None,None,1588,data16_13TeV.00310809.physics_BphysDelayed.merge.AOD.r8777_p2884_tid09897919_00,310809,2022-04-20 18:36:07
None,None,5254787017636,None,2016-10-18 17:10:53,2016-10-17 23:03:03,None,None,None,6554,data16_13TeV.00310809.physics_ExoDelayed.daq.RAW,310809,2022-04-20 18:30:09
None,None,3970576342366,data16,2018-07-11 18:19:44,2018-07-06 10:16:21,None,None,None,1139,data16_13TeV.00310809.physics_Main.archive.DRAW_RPVLL.r9264_p3579_tid14549136_00,310809,2022-04-20 18:24:55
50,2023-03-15 14:35:02,19793602271,data16_13TeV:rel22repro,2021-12-29 09:15:19,2021-12-27 04:02:20,None,None,None,7,data16_13TeV.00310809.physics_Main.merge.DAOD_IDTIDE.r13286_p4911_tid27640069_00,310809,2023-03-15 14:35:32
None,None,619917764511,data16_13TeV,2021-08-05 16:54:08,2021-08-04 22:51:14,None,None,None,123,data16_13TeV.00310809.physics_Main.merge.DESDM_EGZ.r12746_r12746_p3833_p3833_tid26234173_00,310809,2021-08-05 16:54:08
79,2023-02-25 08:23:06,198462693485,None,2016-10-24 06:12:04,2016-10-22 01:04:43,None,None,None,121,data16_13TeV.00310809.physics_Main.merge.DESDM_EXOTHIP.f756_m1714,310809,2023-02-25 08:23:56
16,2021-08-25 21:06:24,184801291196,data16_13TeV,2021-08-04 19:42:44,2021-08-01 17:15:07,None,None,None,33,data16_13TeV.00310809.physics_Main.merge.DESDM_EXOTHIP.r12746_p3833_p3833_tid26232339_00,310809,2021-08-25 21:07:10
5,2022-11-16 16:26:10,60007937523,data16_13TeV,2022-11-14 13:56:19,2022-11-14 09:35:20,None,None,None,6,data16_13TeV.00310809.physics_ZeroBias.merge.AOD.r9264_p3083_tid31234902_00,310809,2022-11-16 16:26:49
12,2022-02-28 21:40:53,128960695977,data16_13TeV,2021-12-02 02:27:22,2021-11-27 11:32:38,None,None,None,52,data16_13TeV.00310863.calibration_DataScouting_05_Jets.merge.AOD.r10657_p3592_tid27456634_00,310863,2022-02-28 21:41:24
None,None,2673850416,None,2016-10-18 22:47:45,2016-10-18 20:39:07,None,None,None,18,data16_13TeV.00310863.calibration_PixelNoise.daq.RAW,310863,2022-04-20 18:34:54
None,None,3188573224,None,2016-10-18 22:18:44,2016-10-18 21:05:33,None,None,None,4,data16_13TeV.00310863.calibration_lucid.daq.RAW,310863,2022-04-20 18:33:20
930,2021-08-12 19:04:04,374710165164,None,2016-10-18 23:32:51,2016-10-18 19:33:18,None,None,None,310,data16_13TeV.00310863.physics_Background.merge.RAW,310863,2022-04-20 18:31:32
6195,2023-02-20 20:34:42,428280397134,data16_13TeV,2017-05-06 14:54:10,2017-05-01 18:21:48,None,None,None,353,data16_13TeV.00310863.physics_BphysDelayed.merge.AOD.r9264_p3083_tid11270429_00,310863,2023-02-20 20:35:31
None,None,1858963249744,data16_13TeV,2020-09-02 00:11:55,2020-08-30 12:13:25,None,None,None,185,data16_13TeV.00310863.physics_Main.archive.DRAW_RPVLL.r11969_p4071_tid22357084_00,310863,2022-04-20 18:35:18
7693,2023-03-10 16:56:57,5038403961314,data16_13TeV:rel22repro,2021-12-26 13:53:03,2021-12-24 04:31:43,None,None,None,619,data16_13TeV.00310863.physics_Main.merge.AOD.r13286_p4910_tid27639966_00,310863,2023-03-10 16:57:56
None,None,599186602777,data16_13TeV,2021-09-05 19:42:32,2021-08-04 12:54:11,None,None,None,95,data16_13TeV.00310863.physics_Main.merge.DESDM_MCP.r12746_p3833_p3833_tid26229611_00,310863,2021-09-05 19:42:33
51,2022-04-08 21:32:57,519665835246,data16_13TeV:rel22repro,2021-12-24 11:04:27,2021-12-18 20:03:20,None,None,None,64,data16_13TeV.00310863.physics_Main.merge.DESDM_MCP.r13286_p4913_tid27639864_00,310863,2022-04-08 21:33:55
135,2021-09-06 10:39:14,1389891183291,data16_13TeV,2021-09-06 10:24:13,2021-08-04 05:54:48,None,None,None,218,data16_13TeV.00310863.physics_Main.merge.DESDM_SLTTMU.r12746_p3833_tid26228861_00,310863,2021-09-06 10:40:07
338,2021-05-12 22:17:50,1081343754164,data16_13TeV,2021-04-25 12:28:49,2021-04-22 15:53:00,None,None,None,7768,data16_13TeV.00310863.physics_Main.recon.DRAW_ZMUMU.r9264_tid24880865_00,310863,2021-05-12 22:18:48
2,2022-11-16 15:08:44,15762698957,data16_13TeV,2022-11-14 11:33:20,2022-11-14 09:35:19,None,None,None,2,data16_13TeV.00310863.physics_ZeroBias.merge.AOD.r9264_p3083_tid31234905_00,310863,2022-11-16 15:09:13
11,2022-02-28 20:50:11,203817332923,data16_13TeV,2021-12-04 02:43:30,2021-11-29 21:33:48,None,None,None,152,data16_13TeV.00310872.calibration_DataScouting_05_Jets.merge.AOD.r10657_p3592_tid27456636_00,310872,2022-02-28 21:04:07
None,None,180909047312,None,2016-10-19 10:34:14,2016-10-19 03:00:38,None,None,None,102,data16_13TeV.00310872.calibration_LArCells.daq.RAW,310872,2022-04-20 18:32:22
None,None,69336482280,None,2016-10-19 10:34:14,2016-10-19 03:00:38,None,None,None,54,data16_13TeV.00310872.calibration_LArCellsEmpty.daq.RAW,310872,2022-04-20 18:36:03
None,1970-01-18 03:41:33,257207183780,None,2016-10-19 10:34:14,2016-10-19 03:00:39,None,None,None,118,data16_13TeV.00310872.calibration_LArNoiseBurst.daq.RAW,310872,2022-04-20 18:36:10
None,None,15232784,None,2016-10-19 10:34:16,2016-10-19 06:21:14,None,None,None,5,data16_13TeV.00310872.debug_all.daq.RAW,310872,2022-04-20 18:33:15
1343,2021-08-17 13:44:18,540721344844,None,2016-10-19 11:22:59,2016-10-19 03:05:49,None,None,None,588,data16_13TeV.00310872.physics_Background.merge.RAW,310872,2022-04-20 18:35:07
4479,2023-02-21 22:49:45,603287179258,data16_13TeV,2017-05-04 09:40:12,2017-05-01 19:22:25,None,None,None,429,data16_13TeV.00310872.physics_BphysDelayed.merge.AOD.r9264_p3083_tid11270431_00,310872,2023-02-21 22:50:30
None,None,2104565573308,None,2016-10-19 10:34:20,2016-10-19 05:03:59,None,None,None,2181,data16_13TeV.00310872.physics_ExoDelayed.daq.RAW,310872,2022-04-20 18:34:30
None,None,1870863414342,data16,2018-07-15 15:56:34,2018-07-06 13:52:19,None,None,None,376,data16_13TeV.00310872.physics_Main.archive.DRAW_RPVLL.r9264_p3579_tid14552549_00,310872,2022-04-20 18:27:08
17447,2022-06-07 03:11:54,27170935027216,None,2016-10-19 10:34:20,2016-10-19 05:01:25,None,None,None,11554,data16_13TeV.00310872.physics_Main.daq.RAW,310872,2022-06-07 03:12:51
380533,2023-02-25 06:13:02,7181138311845,data16_13TeV:rel21repro,2017-04-01 14:26:08,2017-03-28 07:25:26,None,None,None,3260,data16_13TeV.00310872.physics_Main.merge.AOD.r9264_p3083_tid11044944_00,310872,2023-02-25 06:13:43
2,2022-02-28 13:47:49,33899171592,data16_13TeV:rel22repro,2022-01-13 16:22:37,2022-01-13 09:33:00,None,None,None,3,data16_13TeV.00310872.physics_Main.merge.DAOD_ZMUMU.r13286_r13313_p4910_tid27815586_00,310872,2022-02-28 13:48:29
507,2022-10-06 23:48:45,288403240126,data16_13TeV:rel21repro,2017-04-01 08:42:04,2017-03-29 19:02:24,None,None,None,60,data16_13TeV.00310872.physics_Main.merge.DAOD_ZMUMU.r9264_r9264_p3083_p3083_tid11045068_00,310872,2022-10-27 08:34:40
218,2021-07-29 08:27:25,1976395038075,data16_13TeV,2021-07-29 08:21:18,2021-07-26 08:37:33,None,None,None,314,data16_13TeV.00310872.physics_Main.merge.DESDM_EGAMMA.r12746_p3833_tid26231711_00,310872,2021-07-29 08:28:23
41,2021-07-30 08:57:27,303828188969,data16_13TeV,2021-07-30 07:45:16,2021-07-29 09:57:17,None,None,None,63,data16_13TeV.00310872.physics_Main.merge.DESDM_EGZ.r12746_r12746_p3833_tid26234179_00,310872,2021-07-30 08:58:22
90,2023-02-25 08:16:34,68039332040,data16_13TeV:rel21repro,2017-04-01 03:23:27,2017-03-29 01:51:05,None,None,None,15,data16_13TeV.00310872.physics_Main.merge.DESDM_EXOTHIP.r9264_p3082_p3082_tid11045016_00,310872,2023-02-25 08:17:26
None,None,826012651689,data16_13TeV,2021-07-29 15:43:35,2021-07-26 20:24:11,None,None,None,158,data16_13TeV.00310872.physics_Main.merge.DESDM_MCP.r12746_p3833_p3833_tid26229616_00,310872,2021-07-29 15:43:35
None,None,115674844535,data16_13TeV,2021-07-29 09:14:12,2021-07-27 22:04:36,None,None,None,20,data16_13TeV.00310872.physics_Main.merge.DESDM_PHOJET.r12746_p3833_p3833_tid26230950_00,310872,2021-07-29 09:14:12
None,None,4120468,None,2016-10-19 17:28:21,2016-10-19 17:23:42,None,None,None,6,data16_13TeV.00310967.calibration_LArCellsEmpty.daq.RAW,310967,2022-04-20 18:37:40
12,2022-02-28 19:01:11,193487737877,data16_13TeV,2021-12-06 06:53:38,2021-12-01 02:56:33,None,None,None,107,data16_13TeV.00310969.calibration_DataScouting_05_Jets.merge.AOD.r10657_p3592_tid27456638_00,310969,2022-02-28 19:01:56
660,2021-11-30 22:38:57,310377495100,None,2016-10-20 08:15:09,2016-10-20 07:54:54,None,None,None,495,data16_13TeV.00310969.calibration_DataScouting_05_Jets.merge.RAW,310969,2022-04-20 18:28:22
None,None,5305175856,None,2016-10-20 07:25:53,2016-10-20 00:08:29,None,None,None,54,data16_13TeV.00310969.calibration_PixelNoise.daq.RAW,310969,2022-04-20 18:37:08
None,1970-01-18 03:58:44,5836884,None,2016-10-20 07:16:02,2016-10-20 03:17:06,None,None,None,4,data16_13TeV.00310969.calibration_TgcNoiseBurst.daq.RAW,310969,2022-04-20 18:29:13
9,2021-06-23 12:17:08,2637392,None,2016-10-20 07:52:20,2016-10-20 07:50:14,None,None,None,1,data16_13TeV.00310969.debugrec_hlt.merge.RAW.g53,310969,2022-04-20 18:35:02
124,2021-12-15 19:47:09,377835730353,data16_13TeV,2021-05-11 23:28:46,2021-05-10 06:52:48,None,None,None,41,data16_13TeV.00310969.physics_Background.merge.DAOD_IDNCB.r12566_p4457_tid25419136_00,310969,2021-12-15 19:49:56
985,2022-06-16 12:03:45,3489642493860,None,2016-10-20 07:25:56,2016-10-19 23:56:03,None,None,None,2970,data16_13TeV.00310969.physics_BphysDelayed.daq.RAW,310969,2022-06-16 12:04:39
